epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2511.47,0.39417,0.47811,0.31469,0.80495,0.9881,0.98413,0.99246,0.95399,0.9881,0.98413,0.99246,0.92992,0.3119,0.32007,0.24685,0.78224,0.00083764,0.00083764,0.00083764
43,2570.91,0.39348,0.48575,0.31798,0.80369,0.98847,0.97884,0.99379,0.95398,0.98847,0.97884,0.99379,0.93213,0.30604,0.33091,0.2382,0.78372,0.00083368,0.00083368,0.00083368
44,2630.3,0.38705,0.48114,0.31147,0.80616,0.99136,0.96296,0.99172,0.94667,0.99136,0.96296,0.99172,0.91844,0.31014,0.32296,0.24086,0.78747,0.00082972,0.00082972,0.00082972
45,2689.94,0.38119,0.48917,0.32569,0.80141,0.97665,0.98942,0.9938,0.94977,0.97665,0.98942,0.9938,0.92585,0.30986,0.33494,0.22712,0.78013,0.00082576,0.00082576,0.00082576
46,2749.75,0.38165,0.4801,0.31217,0.80106,0.98065,0.97884,0.99066,0.95452,0.98065,0.97884,0.99066,0.93057,0.28199,0.32884,0.22814,0.77988,0.0008218,0.0008218,0.0008218
47,2809.44,0.38096,0.46884,0.30546,0.79855,0.98781,0.98942,0.99257,0.96387,0.98781,0.98942,0.99257,0.92808,0.28679,0.31769,0.23369,0.7792,0.00081784,0.00081784,0.00081784
48,2868.51,0.38853,0.45044,0.30427,0.80025,0.99451,0.97884,0.99142,0.95814,0.99451,0.97884,0.99142,0.9366,0.30025,0.3156,0.24314,0.78101,0.00081388,0.00081388,0.00081388
49,2928.56,0.3922,0.48246,0.31384,0.79853,0.97395,0.98897,0.99091,0.94993,0.97395,0.98897,0.99091,0.93335,0.30725,0.32437,0.23809,0.78333,0.00080992,0.00080992,0.00080992
50,2988.33,0.38759,0.48452,0.31344,0.79769,0.98351,0.98413,0.99323,0.93988,0.98351,0.98413,0.99323,0.92986,0.3229,0.32091,0.2415,0.784,0.00080596,0.00080596,0.00080596
51,3047.86,0.38265,0.50718,0.31145,0.80072,0.99384,0.97884,0.99296,0.96056,0.99384,0.97884,0.99296,0.93952,0.28451,0.31213,0.22974,0.77718,0.000802,0.000802,0.000802
