epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2855.75,0.39447,0.48805,0.33813,0.80957,0.9885,0.98324,0.99451,0.94899,0.9885,0.98324,0.99451,0.93879,0.3338,0.30318,0.24617,0.80274,0.00084556,0.00084556,0.00084556
41,2914.88,0.37999,0.4553,0.3284,0.79925,0.9994,0.98883,0.99489,0.95084,0.9994,0.98883,0.99489,0.94473,0.31597,0.30919,0.23902,0.79158,0.0008416,0.0008416,0.0008416
42,2973.99,0.38735,0.48821,0.31998,0.79945,0.98796,0.99441,0.99478,0.96123,0.98796,0.99441,0.99478,0.94835,0.3209,0.29834,0.23278,0.78944,0.00083764,0.00083764,0.00083764
43,3033.38,0.38345,0.46916,0.33144,0.80024,0.97812,0.99885,0.99386,0.96284,0.97812,0.99885,0.99386,0.94872,0.29288,0.32824,0.24031,0.78476,0.00083368,0.00083368,0.00083368
44,3092.87,0.3881,0.45317,0.32011,0.80502,0.99581,0.99441,0.995,0.95844,0.99581,0.99441,0.995,0.93687,0.29141,0.28847,0.24736,0.78613,0.00082972,0.00082972,0.00082972
45,3151.15,0.37927,0.46782,0.32898,0.79985,1,0.98705,0.99489,0.96926,1,0.98705,0.99489,0.94943,0.29207,0.28596,0.25166,0.78875,0.00082576,0.00082576,0.00082576
46,3210.25,0.37613,0.48875,0.31553,0.80154,0.99289,0.98324,0.99472,0.95898,0.99289,0.98324,0.99472,0.94208,0.31557,0.29415,0.24691,0.79345,0.0008218,0.0008218,0.0008218
47,3268.94,0.37124,0.45491,0.30541,0.80769,0.99231,0.98883,0.99455,0.95387,0.99231,0.98883,0.99455,0.9478,0.31248,0.29291,0.23003,0.79322,0.00081784,0.00081784,0.00081784
48,3327.44,0.37417,0.46489,0.31285,0.80001,0.99353,1,0.995,0.95298,0.99353,1,0.995,0.93756,0.30893,0.28685,0.23861,0.79736,0.00081388,0.00081388,0.00081388
49,3385.75,0.37874,0.45555,0.31818,0.80189,1,0.99258,0.995,0.9595,1,0.99258,0.995,0.94426,0.31089,0.30367,0.21563,0.79695,0.00080992,0.00080992,0.00080992
50,3444.8,0.37625,0.451,0.30862,0.7964,0.99441,0.99379,0.99483,0.96263,0.99441,0.99379,0.99483,0.94875,0.29865,0.30258,0.21838,0.78607,0.00080596,0.00080596,0.00080596
51,3503.46,0.3834,0.45431,0.30792,0.80101,0.99388,0.99441,0.99489,0.9512,0.99388,0.99441,0.99489,0.94135,0.31496,0.28842,0.2262,0.79402,0.000802,0.000802,0.000802
52,3562.09,0.37557,0.45615,0.30792,0.79921,0.99771,0.99441,0.995,0.96061,0.99771,0.99441,0.995,0.95216,0.31825,0.27655,0.22547,0.79175,0.00079804,0.00079804,0.00079804
53,3620.2,0.3731,0.47444,0.30739,0.80768,0.99239,0.97765,0.99393,0.95469,0.99239,0.97765,0.99393,0.94585,0.31678,0.30476,0.22542,0.7945,0.00079408,0.00079408,0.00079408
54,3679.2,0.37005,0.46602,0.29983,0.79653,0.98222,0.98883,0.99417,0.95374,0.98222,0.98883,0.99417,0.93941,0.30557,0.28925,0.23327,0.79261,0.00079012,0.00079012,0.00079012
55,3737.78,0.37597,0.47889,0.30626,0.8041,0.99206,0.99441,0.99494,0.97029,0.99206,0.99441,0.99494,0.95034,0.2818,0.29695,0.21942,0.78648,0.00078616,0.00078616,0.00078616
56,3796.79,0.37333,0.4594,0.31551,0.79737,0.9887,0.97752,0.99428,0.96132,0.99435,0.98311,0.99466,0.95089,0.30706,0.3067,0.23823,0.78755,0.0007822,0.0007822,0.0007822
57,3854.91,0.37064,0.43713,0.31696,0.7976,0.9884,1,0.9945,0.96709,0.9884,1,0.9945,0.94835,0.29495,0.27943,0.22134,0.78809,0.00077824,0.00077824,0.00077824
58,3913.72,0.37055,0.46597,0.32556,0.80243,0.9785,0.99441,0.99444,0.95501,0.9785,0.99441,0.99444,0.94725,0.32249,0.2896,0.21986,0.79295,0.00077428,0.00077428,0.00077428
59,3972.56,0.37407,0.46805,0.31416,0.80145,0.98291,1,0.99461,0.96601,0.98291,1,0.99461,0.95035,0.29779,0.27133,0.22347,0.78785,0.00077032,0.00077032,0.00077032
60,4031.36,0.37381,0.45365,0.31063,0.79991,0.98658,1,0.99439,0.96205,0.98658,1,0.99439,0.94906,0.32416,0.27901,0.23681,0.79626,0.00076636,0.00076636,0.00076636
61,4089.47,0.36718,0.45126,0.31041,0.80313,0.99907,0.96648,0.99412,0.96052,0.99907,0.96648,0.99412,0.93961,0.29925,0.28998,0.23095,0.79414,0.0007624,0.0007624,0.0007624
